Stage,Num,Talk
1,1,제가 보고 싶으셨나요? 저도 그랬어요
1,2,절 찾아주시면 언제나 보답해 드리니까요
1,3,지휘관님은 정말 제 이상형이셔요. 결혼식이 기다려지네요
2,1,눈부신 지휘였어요. 지휘관님! 제 안목은 틀리지 않거든요
2,2,직접 지휘해 주시니 든든하고 행복해요. 내일도 봐주실 거죠?
2,3,계속 안젤리카의 뒤에 계셔주셔요. 제 힘이 되니까요
3,1,승리를 가져오는 건 제 특기랍니다. 물론 지휘관님의 공이죠!
3,2,AG메이커 총만 있으면 무서울 게 없죠! 제 연구원의 역작인걸요
3,3,필요하신 건 뭐든 조달할 수 있어요. 저는 못하는 게 없답니다
4,1,지휘관님은 더 멋져지실 거예요. 제가 곁에 있을게요!
4,2,오늘 지휘도 멋졌어요! 이번에도 절 반하게 만드셨네요
4,3,안젤리카는 이번 지휘 속에서 사랑을 느꼈어요?
5,1,제 승리가 일간지 1면에 실렸대요! 보세요. 잘 나왔죠?
5,2,이제 뭐 할 거냐고요? 대륙 곳곳에서 온 엽서를 정리해야죠
5,3,일보다 지휘관님이에요? 우린 단란한 가정을 만들 사이잖아요
6,1,후후. 오늘 승리를 기념해야겠어요. 같이 사진 찍어주실래요?
6,2,지휘관님 털끝 하나 다치시지 않게 안젤리카가 지켜드릴게요
6,3,기자를 불렀으니 같이 인터뷰해요. 연승을 알려야죠!
7,1,오늘도 즐거웠어요! 이보다 특별한 데이트가 있을까요?
7,2,더 힘내요. 우리! 부모님도 지휘관님을 기다리고 계셔요!
7,3,이제 같이 식사해요! 지휘관님도 좋으시잖아요?
8,1,전투는 이제 가뿐하죠! 우린 정말 잘 맞아요. 그쵸?
8,2,지휘관님이 다 알려주시니 안젤리카는 믿고 따르는 거예요?
8,3,적국에 무기를 파는지 궁금하셔요? 음? 글쎄요… 장난이에요!
9,1,마지막 전투도 안젤리카를 잘 이끌어 주실 거죠?
9,2,향기로운 미래가 손끝에 느껴지네요? 꼭 잡을 거예요! 같이요?
9,3,곧 우리만의 기념일이 생기겠네요? 앞으로 쭈욱 같이 축하해요!
