Stage,Num,Talk
1,1,클로이라고 불러주세요
1,2,클로이입니다. 잘 부탁드립니다
1,3,인사가 늦어 실례했습니다. 사수 클로이입니다
2,1,맡겨 주시는 일에 최선을 다하겠습니다
2,2,제가 결정한 참전이니 책임을 갖고 임하겠습니다
2,3,항상 복장을 갖춰 입고 자세를 바로잡으세요
3,1,메이드는 주인의 그림자라 항상 주변에 있되 보이지 않습니다
3,2,주인님께선 글을 배울 나이시니 펜 대신 총을 쥐실 순 없습니다
3,3,메이드가 되어 안 해본 일이 없습니다. 또 하나 느네요
4,1,같은 자세를 오래 유지한 경험이 저격에 도움이 되네요
4,2,기척을 감추는 건 메이드의 습관입니다. 또 저격수의 기본이죠
4,3,무거운 건 도와드리죠. 연약한 메이드는 살아남지 못해서요
5,1,진지가 이렇게 지저분하니… 어떻게 사시는 거죠?
5,2,안 쓰는 전리품은 분류해서 깨끗하게 보관해야 하지 않나요?
5,3,지휘관님. 항상 깔끔하게 정리해야 흔적이 남지 않습니다
6,1,세심하게 살펴주시니 전투가 수월하네요
6,2,전장에서는 철저하시네요. 의지가 됩니다
6,3,깔끔한 지휘였습니다. 마음이 편하네요
7,1,오늘은 가족의 소식을 받는 날이네요. 잘 돌봐주고 있을지…
7,2,오빠와 동생 4명이 있습니다. 사이도 좋았는데 오래 못 만났네요
7,3,전쟁 중이라 가족의 약값이 만만치 않네요…
8,1,지금처럼 지휘해 주신다면 부족한 부분은 제가 채워드리죠
8,2,전리품도 중요하지만 지휘가 더 결정적이죠. 잘하고 계십니다
8,3,지휘관님은 더 성장하실 수 있습니다. 제가 보조해 드리죠
9,1,보상금 계산 마쳤습니다. 이제 끝내는 일만 남았네요
9,2,때가 왔네요. 제 목숨을 맡길 테니 이기게 해주시죠
9,3,남은 삶이 기대되네요. 절대 지지 말죠. 지휘관님
10,1,지휘관님 덕입니다. 헤어진다니 아쉽네요
