Stage,Num,Talk
1,1,이렇게 하면 돼? 하핫. 재밌다!
1,2,같이 싸우면 이렇게 재밌구나! 계속 해보자. 계속!
1,3,데노바 말이 맞네! 은신 안 해도 되고! 전투도 좋아!
2,1,고개를… 숙이고! 발은… 부드럽게! 잘 봤지?
2,2,까마귀를 보냈어. 다음 적 병력도 금방 알려줄게!
2,3,여기부터 여기까지 세고 저기까지 곱하면... 병력계산 끝!
3,1,알겠지? 옛날엔 네가 나 잡은 게 아니고 내가 들켜준 거야?
3,2,이러면 영웅등록증 주는 거지? 어때. 나 잘하고 있어?
3,3,이제 밥 안 나눠줘? 왜? 네가 나눠주던 게 더 좋아!
4,1,난 걱정 마! 코르노부스는 잘 안 지쳐!
4,2,난 곧 성인이야! 우린 22살이면 성인 돼! ...넌 이미 성인이야?
4,3,코르노부스는 다 가족이야! 다 같이 살았어!
5,1,고맙긴? 우린 친구잖아!
5,2,내일도 모레도 나랑 같이 싸워야 해? 다른 애들 말고!
5,3,뭐든 말만 해! 내 친구한텐 다 해줄 거야!
6,1,이 정도는 기본이지! 나. 카와야!
6,2,나랑 싸우니까 더 좋지? 난 일류 용병이라구!
6,3,아까 쟤가 나 작다고 무시했어! 이제 못 무시할 걸?
7,1,정보 모으고 작전 세울 일 없어서 편하다! 네가 다 해주잖아
7,2,며칠 안 자도 괜찮아? 임무할 때는 일상인걸
7,3,무기는 매일 갈고 매일 닦아! 정밀함이 우리 생명이야
8,1,다른 사람이 지휘해 주면 못하겠어! 네가 제일 잘해!
8,2,와?! 방금 진짜 엄청났어! 네 지휘. 진짜 좋아!
8,3,진짜 어려웠다! 이건 네가 지휘해 줘서 이긴 거야!
9,1,마지막 전투다! 끝나면 수도 보여주기로 했지! 기억하지?
9,2,겁먹고 빼기 없어! 일류 용병의 실력은 마무리에서 나온다구!
9,3,우리 영웅 되는 거지? 좋아. 나 준비됐어!
10,1,우리 앞으로도 같이 놀자! 나 너무 좋아!
